Crime Type,Date of Initial Criminal Activity,Date Charges Filed,Dollars Involved
Ponzi Scheme,12/21/14 7:17,2/22/20 18:34,7922990
Insider Trading,12/11/07 1:13,6/1/13 15:10,1668413
Ponzi Scheme,11/19/11 19:10,2/23/15 19:20,9622176
Embezzlement,11/13/08 13:16,4/24/09 3:28,3527726
Ponzi Scheme,12/10/13 7:43,4/10/19 1:29,7228377
Embezzlement,10/18/12 18:56,9/4/14 12:52,939859
Ponzi Scheme,6/19/13 7:36,12/9/13 5:25,1401906
Insider Trading,5/18/11 22:27,10/14/16 22:41,4559249
Securities Fraud,7/7/09 12:05,10/25/11 16:13,1082299
Securities Fraud,3/24/12 4:01,6/10/16 13:43,8043584
Embezzlement,2/8/07 18:45,1/8/10 14:37,6961037
Securities Fraud,8/1/12 15:49,12/17/13 17:14,2424096
Embezzlement,1/13/10 10:31,2/1/14 16:21,559003
Embezzlement,11/8/06 4:59,1/6/07 9:21,1483055
Embezzlement,8/16/14 4:16,6/14/16 16:55,9467045
Ponzi Scheme,2/27/09 18:35,10/14/11 23:23,2353688
Ponzi Scheme,9/7/11 17:20,10/12/13 14:55,2378838
Insider Trading,2/24/08 16:19,8/8/09 12:08,7567223
Ponzi Scheme,8/16/10 7:56,5/22/13 8:53,4845062
Ponzi Scheme,3/5/14 19:26,5/8/16 1:56,5332090
Insider Trading,12/15/10 17:26,6/23/13 0:12,1343683
Embezzlement,6/22/12 5:32,5/29/13 3:20,3114937
Securities Fraud,2/24/11 14:14,1/6/15 23:48,3562450
Ponzi Scheme,11/20/09 12:06,12/5/11 11:06,4903661
Insider Trading,4/1/09 14:15,8/16/13 3:20,1633342
Insider Trading,12/29/11 0:48,9/27/14 7:46,6921569
Securities Fraud,12/13/07 22:16,5/23/11 15:06,8917364
Insider Trading,10/19/06 18:00,3/17/08 20:13,3297594
Securities Fraud,8/18/07 8:56,1/2/11 15:46,7330184
Securities Fraud,7/10/12 1:27,3/1/13 18:06,6592848
Securities Fraud,1/12/09 22:47,9/24/10 22:31,3802124
Ponzi Scheme,10/14/09 22:54,10/15/09 11:01,2516169
Embezzlement,8/16/08 1:53,9/13/08 14:24,3949781
Ponzi Scheme,7/12/11 18:36,12/5/16 3:33,9574276
Ponzi Scheme,2/2/12 16:06,2/1/16 16:36,5254190
Insider Trading,10/16/06 14:22,1/29/12 20:38,3822534
Securities Fraud,3/23/11 5:32,11/2/12 11:09,9182568
Embezzlement,10/8/11 18:17,3/10/14 13:03,1886598
Securities Fraud,12/14/10 17:14,12/12/15 14:25,4067944
Securities Fraud,9/15/10 8:10,10/9/12 4:59,6448903
Embezzlement,6/4/10 6:56,4/5/14 19:05,1891508
Ponzi Scheme,10/13/07 12:42,7/1/11 2:41,3403686
Insider Trading,8/13/13 7:22,1/1/14 11:05,1183303
Securities Fraud,7/14/14 15:21,2/5/15 4:26,3888832
Embezzlement,11/7/10 21:39,7/29/15 8:07,3572171
Ponzi Scheme,1/15/11 4:53,2/16/16 7:42,1068702
Securities Fraud,12/1/13 4:39,10/22/16 15:41,5473199
Insider Trading,8/24/07 10:55,5/4/08 10:12,4136488
Ponzi Scheme,11/15/06 6:44,12/26/08 1:41,9465576
Embezzlement,6/23/14 13:17,5/3/18 11:27,8957070
Insider Trading,10/13/10 8:51,12/30/11 18:25,254183
Insider Trading,1/7/07 0:11,7/30/09 22:01,5669434
Embezzlement,4/15/13 16:01,7/6/14 21:58,1562640
Securities Fraud,4/4/11 16:59,2/11/12 21:18,9847028
Embezzlement,12/21/10 18:41,10/29/12 5:00,7889193
Securities Fraud,8/24/12 13:53,3/16/15 5:50,4394427
Embezzlement,9/2/10 10:17,7/31/15 10:44,6751222
Insider Trading,12/18/06 23:37,2/8/07 9:01,7798542
Insider Trading,6/26/13 17:57,5/11/16 14:38,5467676
Embezzlement,12/31/12 0:13,6/25/16 18:04,9550590
Insider Trading,3/24/08 8:16,7/9/09 23:40,9977848
Insider Trading,10/4/10 9:38,4/3/12 16:59,5324055
Securities Fraud,7/25/10 11:10,12/30/14 12:50,7718468
Securities Fraud,12/31/07 17:32,2/27/08 1:18,6316017
Insider Trading,1/14/14 17:35,1/20/19 21:06,5087080
Embezzlement,3/28/11 12:28,9/2/15 19:44,8253825
Embezzlement,8/25/13 21:30,11/9/16 3:29,7389591
Ponzi Scheme,12/14/11 21:16,5/17/16 20:04,550523
Embezzlement,2/9/07 8:56,11/13/10 3:07,3375848
Embezzlement,11/4/07 20:27,2/8/09 5:15,670025
Embezzlement,10/20/14 8:29,9/29/15 3:29,6442932
Embezzlement,3/1/07 21:12,4/11/11 2:06,285830
Insider Trading,1/14/07 20:50,9/18/10 13:20,9463919
Embezzlement,1/12/13 10:36,11/22/15 2:02,9259520
Insider Trading,2/17/12 18:37,3/6/14 7:24,4251764
Insider Trading,6/11/14 21:03,5/17/15 5:27,4947562
Embezzlement,8/1/11 6:24,4/4/16 12:14,971242
Securities Fraud,7/28/09 2:29,10/23/12 2:42,1542226
Insider Trading,12/30/13 0:04,12/18/18 18:58,9932842
Ponzi Scheme,9/20/09 1:23,2/11/13 6:19,6507050
Insider Trading,8/20/08 9:05,12/3/08 2:18,4803861
Ponzi Scheme,11/24/10 2:27,8/9/14 23:17,5264800
Securities Fraud,8/17/11 11:16,10/21/14 18:17,7605710
Securities Fraud,8/17/10 23:56,12/28/10 1:01,4647683
Ponzi Scheme,10/23/09 17:41,2/25/12 22:13,1056373
Securities Fraud,1/15/10 0:10,3/13/15 15:11,2002999
Insider Trading,4/29/08 18:17,10/16/10 17:10,4052358
Embezzlement,4/28/10 3:21,3/16/15 3:46,7660186
Insider Trading,9/26/09 0:30,3/18/15 5:13,4489080
Embezzlement,2/13/11 18:45,1/12/13 6:13,1123793
Embezzlement,7/10/12 14:54,3/19/16 4:43,7116432
Ponzi Scheme,11/9/08 1:16,2/1/10 14:37,7395446
Embezzlement,4/4/07 23:17,2/19/09 13:55,6006971
Securities Fraud,12/21/13 16:36,7/17/15 18:40,4492446
Embezzlement,7/7/11 2:21,12/21/11 21:59,3672216
Embezzlement,11/14/11 20:45,5/21/13 12:58,7381894
Securities Fraud,9/26/13 10:57,3/13/18 5:17,9704383
Embezzlement,4/10/11 18:52,1/5/14 2:17,3994884
Insider Trading,12/16/12 8:51,8/30/13 21:44,1408671
Insider Trading,5/26/11 0:27,7/20/16 6:00,1187451
Securities Fraud,3/18/08 9:29,7/4/10 13:38,8243977
Insider Trading,2/15/09 15:10,10/11/10 0:15,8046929
Insider Trading,1/7/12 18:45,1/5/14 14:07,2963616
Securities Fraud,3/21/14 12:06,12/11/16 12:56,6081681
Embezzlement,10/7/08 22:06,2/25/11 16:14,5919896
Embezzlement,4/16/10 17:06,12/21/10 21:27,9047229
Securities Fraud,8/2/09 14:41,1/20/14 2:14,2208973
Insider Trading,12/2/13 23:13,6/16/16 1:25,6347958
Embezzlement,6/10/13 20:07,9/24/16 6:10,6367467
Securities Fraud,1/26/10 4:42,8/3/13 23:21,920550
Ponzi Scheme,3/10/08 2:53,7/25/10 3:47,8026379
Insider Trading,1/21/07 2:02,8/2/09 18:30,4328012
Securities Fraud,2/19/13 20:08,7/17/13 6:05,6671019
Ponzi Scheme,4/2/14 10:56,10/9/18 22:42,4973537
Embezzlement,8/2/07 18:55,11/4/11 23:26,1417343
Insider Trading,1/13/10 6:02,5/19/12 6:12,1516597
Embezzlement,12/5/12 23:51,9/1/17 2:12,1962764
Ponzi Scheme,7/15/11 22:58,10/27/14 5:39,6016715
Securities Fraud,9/7/07 15:50,5/30/09 4:42,7966279
Ponzi Scheme,2/17/10 4:32,4/13/13 22:53,9080786
Ponzi Scheme,7/3/10 20:55,4/7/14 17:11,702417
Ponzi Scheme,1/30/13 10:12,5/28/18 16:30,2151212
Securities Fraud,9/20/13 16:25,11/9/18 15:51,2404741
Insider Trading,10/28/12 20:20,1/23/18 1:28,5689188
Ponzi Scheme,6/4/09 9:34,2/27/12 20:24,959291
Ponzi Scheme,10/3/11 13:03,2/14/15 14:11,8743246
Insider Trading,10/11/13 23:14,12/2/16 16:04,3240020
Ponzi Scheme,11/12/10 17:38,3/5/16 10:27,504805
Securities Fraud,4/24/13 10:10,7/14/18 23:34,4220528
Insider Trading,2/8/07 18:31,6/6/10 8:16,5675018
Ponzi Scheme,3/6/10 5:44,1/26/12 16:02,6109407
Embezzlement,4/14/11 0:43,1/30/15 11:36,4901672
Embezzlement,5/13/10 22:30,4/25/15 18:03,3676067
Insider Trading,9/19/13 0:22,2/22/17 12:59,9163818
Securities Fraud,11/25/08 17:29,12/3/08 7:54,436432
Insider Trading,11/30/14 23:55,1/20/15 9:31,3429031
Embezzlement,4/23/07 16:49,3/8/09 13:24,8983106
Ponzi Scheme,7/17/09 17:34,3/29/12 13:33,9813553
Insider Trading,8/29/08 22:46,10/22/13 15:17,7277045
Securities Fraud,4/18/13 3:38,8/6/17 21:06,5361876
Embezzlement,8/30/10 12:16,1/8/11 12:45,4677179
Embezzlement,4/20/07 21:22,11/2/07 11:05,8168145
Ponzi Scheme,2/27/12 21:22,8/11/17 3:28,2843290
Insider Trading,9/7/12 22:36,1/21/13 16:11,4927681
Insider Trading,12/2/10 22:07,11/25/11 2:51,1812427
Ponzi Scheme,12/13/12 9:47,6/19/14 21:46,4163625
Embezzlement,10/14/12 18:32,2/29/16 21:35,8689167
Embezzlement,6/8/12 21:36,12/16/13 21:02,6520257
Securities Fraud,9/10/12 9:58,8/13/14 18:41,4105992
Insider Trading,11/9/07 9:47,12/23/07 22:55,6877183
Embezzlement,6/17/12 12:42,12/15/15 23:38,6105234
Embezzlement,5/12/09 17:27,6/18/13 7:00,8854590
Embezzlement,5/25/11 16:18,7/30/15 1:16,8390140
Insider Trading,3/29/13 2:09,10/7/15 16:17,6280522
Ponzi Scheme,5/18/12 8:39,9/5/13 16:14,6436785
Embezzlement,11/9/13 3:58,10/7/16 19:58,7963606
Embezzlement,7/28/14 15:24,3/4/17 7:24,2970523
Securities Fraud,4/23/14 22:28,6/2/18 19:42,1759729
Embezzlement,8/22/13 0:25,11/22/16 14:53,5376078
Ponzi Scheme,10/23/07 2:48,2/11/11 5:10,7091644
Insider Trading,5/11/09 1:31,5/21/13 7:23,7023025
Securities Fraud,2/15/11 7:05,9/21/15 1:33,266404
Insider Trading,5/15/11 3:01,12/27/12 9:26,92454
Embezzlement,8/13/11 9:34,7/31/12 0:19,8617662
Insider Trading,5/20/09 15:05,4/1/10 0:43,8205885
Insider Trading,10/29/14 8:16,6/2/15 20:08,3535835
Insider Trading,9/8/13 21:17,2/7/16 18:25,2279485
Embezzlement,1/15/14 23:54,7/4/16 6:32,7710734
Ponzi Scheme,6/5/14 11:30,11/25/15 11:37,5219139
Embezzlement,7/1/08 17:56,2/2/11 11:26,4707908
Embezzlement,3/31/09 8:39,11/5/12 9:55,1739122
Insider Trading,4/1/13 4:10,4/16/16 17:00,3611128
Ponzi Scheme,8/15/09 3:43,11/9/11 23:37,3910708
Insider Trading,11/7/09 14:00,3/18/12 1:03,7128158
Ponzi Scheme,6/24/07 7:46,3/24/08 21:47,6334098
Insider Trading,6/18/07 16:58,6/25/08 9:30,4734831
Insider Trading,2/16/09 23:42,6/19/13 2:52,158388
Embezzlement,2/12/13 0:17,6/3/18 21:43,7995743
Securities Fraud,5/17/09 6:16,7/6/11 10:18,3039337
Insider Trading,2/14/11 23:37,10/4/14 1:52,107443
Insider Trading,12/14/13 10:31,12/9/16 19:29,7046366
Ponzi Scheme,5/5/12 21:54,2/2/17 4:04,884838
Embezzlement,3/8/09 13:57,10/3/11 18:22,1882347
Securities Fraud,11/17/12 11:47,1/18/13 19:38,6895408
Insider Trading,2/24/13 12:27,4/30/13 22:30,9502542
Insider Trading,1/26/07 2:34,6/26/10 22:33,1296127
Securities Fraud,12/10/10 12:08,2/12/14 8:31,8680709
Securities Fraud,10/23/09 22:31,6/30/14 15:00,700568
Ponzi Scheme,5/25/13 1:51,8/3/13 0:48,1315908
Securities Fraud,5/14/12 21:14,1/12/13 23:56,6035843
Ponzi Scheme,10/30/10 20:30,3/26/15 3:51,3410182
Insider Trading,11/22/09 5:32,3/27/15 17:40,7570733
Embezzlement,8/2/09 2:27,10/18/14 17:06,9130472
Securities Fraud,9/11/08 13:41,9/23/09 23:43,8861117
Ponzi Scheme,7/9/11 14:56,10/15/16 10:20,3793744
Securities Fraud,5/16/10 19:25,6/5/15 7:25,9073068
Securities Fraud,2/24/10 21:56,6/23/15 8:05,3012875
Embezzlement,6/8/07 4:57,2/5/12 6:10,8416796
Insider Trading,10/21/08 21:50,7/7/13 7:59,6907525
Securities Fraud,8/31/11 20:29,11/23/13 11:08,3981422
Ponzi Scheme,7/8/11 12:33,1/28/16 19:45,7988253
Ponzi Scheme,7/20/14 11:11,11/26/19 8:07,8092941
Embezzlement,1/6/12 20:03,3/8/17 12:44,322409
Ponzi Scheme,5/26/11 3:14,5/27/16 17:42,3290490
Embezzlement,4/29/14 19:24,3/13/18 15:32,2889244
Insider Trading,5/9/14 18:41,8/6/19 14:37,1464941
Insider Trading,12/5/12 1:10,3/5/16 13:02,3075263
Securities Fraud,1/24/10 12:04,4/23/13 2:11,2827802
Ponzi Scheme,8/9/14 5:36,4/16/17 17:38,9631451
Securities Fraud,7/12/11 20:55,9/16/12 9:39,2834708
Insider Trading,12/12/08 22:35,2/1/13 5:58,4781040
Securities Fraud,2/26/12 16:43,7/6/14 20:48,1801778
Insider Trading,7/6/12 4:05,1/12/13 4:02,2182649
Securities Fraud,7/22/09 7:56,9/7/09 0:01,9732885
Insider Trading,9/28/13 21:39,5/14/14 5:42,380128
Ponzi Scheme,6/22/08 9:26,2/10/13 6:10,2511302
Insider Trading,6/27/07 23:06,8/19/10 23:31,2240954
Securities Fraud,8/26/08 4:12,2/3/09 14:11,3573930
Securities Fraud,8/4/09 5:15,10/4/12 21:52,87411
Insider Trading,10/7/07 15:22,1/3/11 15:37,7558231
Securities Fraud,3/25/13 20:16,3/30/14 11:30,918904
Ponzi Scheme,11/15/10 5:58,8/30/13 18:52,9727106
Ponzi Scheme,11/1/06 6:00,6/4/09 15:51,6200848
Ponzi Scheme,8/20/09 4:37,4/24/13 23:57,3456727
Embezzlement,12/1/10 6:21,11/20/12 7:47,869947
Embezzlement,11/22/12 0:12,6/2/16 11:31,3765388
Embezzlement,12/1/06 15:30,8/6/10 13:05,2442028
Embezzlement,8/12/13 21:00,10/29/14 2:21,3725136
Embezzlement,5/11/09 18:27,7/5/13 15:24,5517354
Ponzi Scheme,6/30/13 11:44,3/9/16 5:00,378012
Securities Fraud,4/25/12 1:23,2/6/15 1:43,3791934
Insider Trading,11/21/08 11:20,8/2/10 11:44,2740271
Ponzi Scheme,6/11/12 22:35,8/24/15 12:40,9557480
Ponzi Scheme,4/25/07 14:02,2/16/12 2:27,5206020
Ponzi Scheme,3/7/11 15:26,8/27/15 0:05,882107
Insider Trading,10/23/12 0:52,11/3/16 5:44,7247783
Embezzlement,1/31/13 20:52,3/2/14 0:05,4927136
Embezzlement,7/3/12 13:54,2/22/17 15:28,2248452
Insider Trading,5/13/14 22:31,8/12/18 8:53,9839377
Ponzi Scheme,12/15/10 8:29,8/29/13 22:39,7800836
Embezzlement,3/17/08 6:41,7/28/13 19:38,8263714
Embezzlement,7/5/14 8:51,3/31/18 6:57,3963726
Embezzlement,11/1/08 2:37,12/21/13 6:00,1457091
Ponzi Scheme,12/13/12 13:06,5/16/13 2:08,1904271
Insider Trading,10/7/12 19:29,1/31/17 3:05,3246425
Securities Fraud,3/24/13 8:40,5/10/14 7:26,4689330
Insider Trading,9/19/09 23:23,3/3/12 10:29,7057469
Insider Trading,10/18/12 13:30,1/10/17 22:57,1620981
Embezzlement,8/21/10 19:59,3/5/15 4:47,7078059
Ponzi Scheme,11/8/14 8:35,12/26/15 10:33,8122222
Insider Trading,6/8/08 3:36,8/16/08 16:59,8228344
Insider Trading,9/23/09 11:43,7/12/11 13:01,8929360
Ponzi Scheme,9/8/07 10:47,8/18/12 20:57,6688856
Embezzlement,12/6/08 12:30,12/5/10 5:59,9034875
Ponzi Scheme,4/26/07 20:02,4/25/11 22:33,4649780
Securities Fraud,2/29/08 7:11,4/7/11 22:14,965404
Ponzi Scheme,2/8/14 22:56,3/28/14 11:37,1754566
Embezzlement,7/6/11 12:20,3/22/14 22:05,2594657
Insider Trading,10/9/14 17:52,5/18/16 17:09,6884006
Securities Fraud,11/8/06 13:25,11/22/08 14:24,5645891
Insider Trading,10/24/11 13:46,2/20/14 15:08,6943813
Securities Fraud,9/19/09 2:05,5/11/11 21:52,6340704
Insider Trading,8/21/14 18:01,9/4/19 3:09,2617081
Securities Fraud,12/26/07 2:35,7/15/10 9:47,2252181
Securities Fraud,1/13/09 19:05,4/16/12 18:04,6370935
Embezzlement,11/20/11 15:46,5/16/14 5:49,886516
Insider Trading,11/25/12 18:52,1/14/18 11:47,4510563
Ponzi Scheme,11/25/09 3:51,3/20/15 23:30,7148922
Ponzi Scheme,1/20/13 22:57,7/21/17 22:07,7403545
Insider Trading,5/12/10 20:00,4/23/11 16:18,4173786
Insider Trading,5/4/07 16:41,6/18/07 20:33,7931114
Securities Fraud,10/4/14 17:47,12/18/16 12:39,2955629
Securities Fraud,12/15/12 0:12,11/3/14 10:01,7612976
Embezzlement,12/20/10 16:32,6/16/15 14:29,4600
Securities Fraud,3/14/12 18:50,5/5/13 4:15,9160808
Embezzlement,1/14/07 22:05,3/7/07 10:13,9492066
Insider Trading,1/20/09 0:23,6/19/10 11:08,7506306
Embezzlement,6/27/08 19:47,1/10/09 21:32,5166059
Securities Fraud,3/18/10 23:04,6/22/14 16:45,5421583
Insider Trading,1/14/11 1:20,5/13/13 6:20,8823531
Ponzi Scheme,1/2/14 2:03,9/26/17 7:59,5122012
Ponzi Scheme,10/16/06 0:53,2/11/07 20:02,6119095
Embezzlement,5/13/10 21:36,12/19/13 22:47,7501709
Ponzi Scheme,5/27/11 11:58,4/10/16 5:59,1532928
Securities Fraud,10/26/11 20:39,2/12/13 9:13,7742977
Embezzlement,12/20/08 1:53,7/10/12 10:31,2061541
Securities Fraud,9/25/14 7:31,7/8/15 3:17,1978024
Ponzi Scheme,5/9/09 23:10,8/27/12 13:45,9690662
Insider Trading,11/21/07 4:13,6/16/10 14:19,2781075
Securities Fraud,11/3/10 17:30,12/2/10 4:20,4812630
Ponzi Scheme,2/19/10 20:13,12/21/14 19:51,5256822
Securities Fraud,4/16/09 19:19,9/28/10 6:28,2230564
Ponzi Scheme,5/29/11 15:13,1/9/15 2:54,8728693
Insider Trading,5/7/10 0:47,11/20/11 15:09,2181443
Securities Fraud,8/3/12 19:30,8/1/14 13:19,5115009
Insider Trading,9/8/09 15:51,12/7/11 11:01,1089452
Securities Fraud,12/9/14 23:23,12/20/19 0:23,5753127
Ponzi Scheme,12/9/08 10:57,4/24/14 19:51,115973
Ponzi Scheme,12/4/06 18:17,8/13/08 22:55,4165161
Insider Trading,9/7/12 1:36,4/11/15 13:39,6850366
Ponzi Scheme,12/5/14 8:57,12/17/19 20:16,7091464
Embezzlement,4/8/10 18:56,1/14/12 11:08,7858792
Embezzlement,6/20/08 11:50,12/26/08 20:26,7595218
Embezzlement,6/28/07 22:17,1/18/12 9:51,235397
Insider Trading,3/6/12 6:09,5/20/17 11:39,2052826
Embezzlement,11/25/13 15:04,10/25/17 1:32,6670007
Ponzi Scheme,12/2/08 13:47,4/30/13 11:35,5601331
Embezzlement,11/6/08 20:42,5/3/12 20:36,7393737
Embezzlement,5/25/14 21:45,6/28/16 1:11,8244403
Insider Trading,9/12/13 1:37,1/18/15 14:10,5645180
Embezzlement,6/3/12 4:38,5/20/15 10:06,2866888
Embezzlement,9/4/13 13:19,2/28/15 15:32,7853837
Embezzlement,2/28/11 3:13,7/24/14 7:24,6530940
Securities Fraud,1/6/11 0:27,9/7/15 21:21,7055549
Insider Trading,4/13/11 10:30,7/16/14 12:14,1365809
Ponzi Scheme,5/26/08 20:17,9/8/10 21:23,6000937
Embezzlement,5/21/10 5:56,9/8/10 12:26,6465344
Embezzlement,12/25/10 13:58,12/26/15 14:25,4413111
Embezzlement,10/24/13 22:21,4/7/17 10:48,3046901
Insider Trading,6/1/10 11:35,2/22/15 20:14,1231432
Ponzi Scheme,12/14/08 15:22,6/2/11 19:05,6691602
Insider Trading,9/14/08 23:58,7/4/12 23:30,1468280
Securities Fraud,6/21/14 16:05,7/1/14 7:52,4092429
Insider Trading,2/3/09 20:05,2/21/10 11:41,4251717
Embezzlement,2/18/09 9:09,4/10/14 19:30,8343995
Insider Trading,11/9/06 4:02,10/29/11 18:44,373690
Securities Fraud,12/18/07 16:42,5/26/10 2:44,2687963
Ponzi Scheme,12/2/12 20:05,2/9/14 4:52,7197176
Ponzi Scheme,9/12/08 14:55,12/30/13 2:22,381884
Embezzlement,6/23/12 18:13,1/5/14 4:31,4286527
Embezzlement,11/15/10 11:43,9/19/11 21:39,133176
Embezzlement,5/18/14 13:29,6/28/19 11:38,3690650
Securities Fraud,9/23/09 18:26,10/20/11 3:59,8236159
Ponzi Scheme,2/7/14 7:07,7/22/17 15:28,8843293
Ponzi Scheme,4/12/12 18:32,4/29/12 8:02,9223414
Embezzlement,4/20/14 18:05,5/21/14 3:56,2541128
Securities Fraud,2/18/07 10:46,4/21/09 17:03,4053539
Ponzi Scheme,6/25/09 10:02,9/5/13 19:49,1128136
Securities Fraud,12/7/09 14:59,9/25/14 17:48,4667037
Embezzlement,8/16/14 5:41,6/19/16 22:01,8420360
Embezzlement,2/5/11 14:28,2/25/11 12:14,7984145
Insider Trading,2/7/11 8:36,6/7/14 23:22,4381807
Securities Fraud,3/7/08 6:45,8/12/12 14:55,455321
Ponzi Scheme,4/9/10 15:05,1/2/15 3:08,3487183
Insider Trading,1/23/09 8:34,1/26/10 21:33,8005210
Ponzi Scheme,10/29/07 11:36,2/7/12 15:32,5026919
Ponzi Scheme,4/20/11 14:40,11/4/13 15:22,9403993
Insider Trading,11/20/09 7:43,5/4/11 21:11,689281
Embezzlement,1/29/07 15:56,8/15/08 20:57,2513143
Insider Trading,8/1/08 20:53,10/8/09 16:35,4515908
Securities Fraud,1/18/14 2:35,4/17/14 18:37,6498578
Ponzi Scheme,5/1/10 1:39,10/2/12 20:31,4248826
Embezzlement,2/5/11 6:41,3/14/14 13:31,2687037
Embezzlement,7/10/13 9:40,1/18/17 15:30,9499689
Insider Trading,12/16/06 12:47,8/28/10 14:09,3856372
Ponzi Scheme,12/26/14 14:21,7/3/16 21:36,6818745
Ponzi Scheme,4/14/12 6:15,5/2/14 12:45,1247948
Securities Fraud,1/20/08 6:59,1/28/11 18:49,6447411
Securities Fraud,6/7/09 3:54,1/18/12 5:54,8903993
Ponzi Scheme,1/30/07 9:47,6/4/11 5:20,1217454
Embezzlement,11/25/09 13:57,7/18/11 17:37,8851014
Embezzlement,2/18/13 18:05,10/17/13 6:23,7303818
Insider Trading,2/26/09 2:31,3/2/13 4:03,7460253
Ponzi Scheme,4/3/08 12:37,12/5/08 13:35,462959
Insider Trading,4/1/14 8:20,9/7/16 23:31,5826426
Ponzi Scheme,7/12/14 23:42,2/1/19 2:10,6269942
Insider Trading,6/10/11 0:24,9/25/13 3:53,6578343
Embezzlement,11/25/13 20:45,1/30/16 15:42,414888
Embezzlement,6/22/07 13:20,10/5/08 0:24,9526561
Ponzi Scheme,11/14/12 0:49,8/20/17 22:32,732130
Insider Trading,10/18/13 3:20,7/31/17 10:41,7439583
Insider Trading,3/16/14 3:10,3/24/15 11:58,1429440
Insider Trading,8/16/12 6:19,4/3/17 19:34,6784983
Ponzi Scheme,3/5/11 7:36,2/14/16 12:08,2661107
Insider Trading,11/11/07 17:03,8/31/12 18:07,2113621
Securities Fraud,9/7/14 7:11,6/4/17 4:03,5852552
Insider Trading,2/26/09 5:59,8/31/11 22:15,6471459
Securities Fraud,11/25/13 19:04,3/28/14 23:56,2377542
Securities Fraud,9/29/11 2:59,7/17/15 9:46,3928249
Embezzlement,2/23/08 4:04,8/13/11 20:10,8487109
Embezzlement,1/17/14 19:35,2/25/19 5:51,1987845
Embezzlement,9/21/08 10:40,11/7/13 18:34,9025548
Insider Trading,5/23/09 20:38,6/10/11 6:00,4198449
Insider Trading,7/1/14 18:38,1/19/15 14:50,2404320
Securities Fraud,2/12/10 19:02,7/26/15 4:28,772152
Securities Fraud,12/2/08 2:33,12/17/13 2:30,8013664
Securities Fraud,12/15/10 9:28,7/18/12 2:19,9195142
Ponzi Scheme,5/28/08 18:47,9/25/09 13:09,7756651
Securities Fraud,6/27/14 2:31,1/16/16 8:20,538526
Ponzi Scheme,7/7/09 7:51,4/27/11 6:19,611358
Ponzi Scheme,8/23/14 1:34,6/26/17 8:02,435170
Embezzlement,7/8/09 0:25,2/15/13 5:42,2107056
Insider Trading,1/9/12 2:39,4/18/14 22:23,6263650
Securities Fraud,6/28/12 8:45,12/19/14 20:27,3455857
Ponzi Scheme,4/4/14 22:34,6/30/16 3:35,3893842
Embezzlement,3/15/07 18:51,3/30/08 10:18,765170
Ponzi Scheme,1/20/08 21:24,5/7/12 7:57,3449739
